Time,RawValue,Label
23.367,308.38885272946067,relax
23.368,304.631113378246,relax
23.369,304.2753484506541,relax
23.37,305.12319631239495,relax
23.371,299.80914656636685,relax
23.372,301.54300016574547,relax
23.373,303.5299175735242,relax
23.374,307.39271711730754,relax
23.375,312.87714381579474,relax
23.376,311.2650395585029,relax
23.377,309.762699276059,relax
23.378,310.1613212011842,relax
23.379,311.59952906932523,relax
23.38,306.24727875423486,relax
23.381,309.2745243436937,relax
23.382,308.6489920256982,relax
23.383,306.0245079258535,relax
23.384,304.6218553774075,relax
23.385,301.5346614899342,relax
23.386,302.84203059761995,relax
23.387,303.4637617898468,relax
23.388,300.0058534309219,relax
23.389,303.8982101380674,relax
23.39,302.90341757787945,relax
23.391,308.17599292521305,relax
23.392,310.63395519713544,relax
23.393,307.52909096657214,relax
23.394,307.83356431782113,relax
23.395,306.4965646835625,relax
23.396,311.48571499632175,relax
23.397,308.04827651008753,relax
23.398,308.871378956245,relax
23.399,308.8046351421592,relax
23.4,300.4729700822757,relax
23.401,299.60173530887624,relax
23.402,298.7490689705848,relax
23.403,299.24560142439685,relax
23.404,304.7718731781611,relax
23.405,302.5826985386891,relax
23.406,306.01543102037465,relax
23.407,307.0036090215311,relax
23.408,310.23927236619255,relax
23.409,312.21277346811786,relax
23.41,312.6767990546111,relax
23.411,308.69525168342074,relax
23.412,305.75947190399114,relax
23.413,303.4097690378781,relax
23.414,307.18063066394166,relax
23.415,303.646266576959,relax
23.416,304.8180443625427,relax
23.417,302.2654284622596,relax
23.418,297.4194245108262,relax
23.419,303.6288783832231,relax
23.42,302.56319915244114,relax
23.421,302.813805213243,relax
23.422,304.9959188491285,relax
23.423,310.4881615827508,relax
23.424,306.0552689583002,relax
23.425,309.18462805312686,relax
23.426,307.96458741643914,relax
23.427,311.6969728166638,relax
23.428,305.96556569937786,relax
23.429,311.35027934798165,relax
23.43,306.5328007385021,relax
23.431,303.015404958765,relax
23.432,301.0986582222619,relax
23.433,302.35842523401794,relax
23.434,299.57366205107735,relax
23.435,304.4808300563509,relax
23.436,303.0050155061506,relax
23.437,301.04909942093394,relax
23.438,305.89099083623654,relax
23.439,306.290181299362,relax
23.44,310.66679127802024,relax
23.441,312.7384890402657,relax
23.442,310.76100803086547,relax
23.443,309.7742886613678,relax
23.444,311.5059253115156,relax
23.445,309.956351549834,relax
23.446,303.14645637280137,relax
23.447,307.1085969053511,relax
23.448,302.5835468288025,relax
23.449,299.77733664151333,relax
23.45,301.58362714735887,relax
23.451,302.2044002834103,relax
23.452,299.4609192596553,relax
23.453,305.10593227931156,relax
23.454,306.72008692877864,relax
23.455,307.90619584175573,relax
23.456,313.8080343994553,relax
23.457,307.93169393727055,relax
23.458,312.5953838100049,relax
23.459,311.65512292958437,relax
23.46,308.4615978214486,relax
23.461,305.9130011125762,relax
23.462,302.22772173568063,relax
23.463,299.4278102429396,relax
23.464,305.1858299943264,relax
23.465,299.8767143531191,relax
23.466,306.64258065248873,relax
23.467,303.8841262333473,relax
23.468,301.22476910426343,relax
23.469,310.7515718638086,relax
23.47,301.9066235402162,relax
23.471,309.3801584636362,relax
23.472,311.42949299258504,relax
23.473,309.0762706064912,relax
23.474,314.6691641425161,relax
23.475,313.43178142014375,relax
23.476,309.1169735407296,relax
23.477,309.1746051726039,relax
23.478,304.74507927043265,relax
23.479,299.6855334893517,relax
23.48,303.66752722058413,relax
23.481,303.4078115823416,relax
23.482,304.7839778910553,relax
23.483,299.3641738414047,relax
23.484,305.4747749927918,relax
23.485,305.17538097123554,relax
23.486,308.31468968074137,relax
23.487,309.29835491718865,relax
23.488,311.3701924390134,relax
23.489,312.77464155441373,relax
23.49,315.2805705694153,relax
23.491,311.0174920718001,relax
23.492,308.5306046421257,relax
23.493,307.61205576537935,relax
23.494,308.86890848622994,relax
23.495,302.89521508609084,relax
23.496,303.223115123289,relax
23.497,304.13428197134186,relax
23.498,300.199848499518,relax
23.499,298.01318089833273,relax
23.5,302.461119392713,relax
23.501,303.87987620360195,relax
23.502,307.3043105924226,relax
23.503,311.17201447269434,relax
23.504,311.6014956888291,relax
23.505,312.89688848819515,relax
23.506,309.5595748314652,relax
23.507,308.52935305474466,relax
23.508,307.0886376371539,relax
23.509,307.96208512979587,relax
23.51,305.84775561289626,relax
23.511,303.29737912238886,relax
23.512,306.0940393127286,relax
23.513,299.05742486367467,relax
23.514,302.95067350414166,relax
23.515,304.06834121114457,relax
23.516,301.4879191463551,relax
23.517,301.66628652953386,relax
23.518,305.80093624092376,relax
23.519,308.73172547386133,relax
23.52,307.7156181451602,relax
23.521,309.70673593899636,relax
23.522,312.8441716453152,relax
23.523,310.57775457603935,relax
23.524,309.182816859952,relax
23.525,304.6327450559799,relax
23.526,304.7769124381169,relax
23.527,305.64325379604054,relax
23.528,304.7958343809294,relax
23.529,298.2756865826108,relax
23.53,303.1561132098379,relax
23.531,305.22624186209015,relax
23.532,300.7635025315677,relax
23.533,306.1908416976947,relax
23.534,308.5448601317672,relax
23.535,309.81003600190274,relax
23.536,311.8562448621211,relax
23.537,312.2534213274017,relax
23.538,310.6291668978487,relax
23.539,312.16616123250725,relax
23.54,309.73936228862834,relax
23.541,307.3673826719114,relax
23.542,305.7513207264888,relax
23.543,305.1685133866307,relax
23.544,301.6919865930861,relax
23.545,299.84159879498895,relax
23.546,302.42864214316444,relax
23.547,302.3749900853852,relax
23.548,303.0479728567732,relax
23.549,306.2534736887371,relax
23.55,303.4859423895785,relax
23.551,308.7338022618008,relax
23.552,312.8149097125919,relax
23.553,312.4028690113204,relax
23.554,313.96955853238154,relax
23.555,306.0664602615317,relax
23.556,309.60946851947483,relax
23.557,307.57668594173924,relax
23.558,307.76988309526433,relax
23.559,303.71862784570345,relax
23.56,300.66846531361375,relax
23.561,301.03989966171565,relax
23.562,300.36820733050456,relax
23.563,303.57062890798863,relax
23.564,303.38154850763704,relax
23.565,302.3286772625169,relax
23.566,308.47671862866537,relax
23.567,312.32044608309565,relax
23.568,314.73806080163905,relax
23.569,308.2859937703693,relax
23.57,311.51383237409993,relax
23.571,308.3633331595923,relax
23.572,302.92061012673116,relax
23.573,304.54758429944167,relax
23.574,305.7873027738666,relax
23.575,303.24220538238995,relax
23.576,303.1885454597926,relax
23.577,301.6677654420205,relax
23.578,299.06568599052724,relax
23.579,304.5976883735405,relax
23.58,301.46869930132567,relax
23.581,304.5885458193095,relax
23.582,310.7141869283498,relax
23.583,311.76467534310837,relax
23.584,315.0471431133784,relax
23.585,311.11579206702885,relax
23.586,309.7066060355796,relax
23.587,312.2154205728486,relax
23.588,306.40375633935105,relax
23.589,304.4955467180395,relax
23.59,303.563381123884,relax
23.591,302.12674942645225,relax
23.592,303.4013683605407,relax
23.593,301.80044814503265,relax
23.594,301.81032710649004,relax
23.595,303.11582543846856,relax
23.596,304.2085452969975,relax
23.597,305.4618949177089,relax
23.598,309.17571172972356,relax
23.599,311.46190177400916,relax
23.6,312.9226042942751,relax
23.601,307.36137595628577,relax
23.602,308.8048289605663,relax
23.603,314.21710719424294,relax
23.604,305.85515549122806,relax
23.605,307.05764165388086,relax
23.606,304.77576754117786,relax
23.607,302.8504914271921,relax
23.608,299.04070476084416,relax
23.609,301.68111579439403,relax
23.61,298.743948696208,relax
23.611,302.5396360023004,relax
23.612,304.9759753437856,relax
23.613,307.46040754661414,relax
23.614,308.22166287022577,relax
23.615,309.3392245478568,relax
23.616,312.4074215240344,relax
23.617,308.3779669827812,relax
23.618,312.903239698531,relax
23.619,304.52318517820936,relax
23.62,303.691101516269,relax
23.621,305.87551774401254,relax
23.622,303.3707051675963,relax
23.623,304.94832630570454,relax
23.624,304.97947802930787,relax
23.625,300.7612917671227,relax
23.626,301.285709676971,relax
23.627,309.22605813964987,relax
23.628,308.4458064010866,relax
23.629,305.00810122401106,relax
23.63,304.9754138326362,relax
23.631,312.3213316994358,relax
23.632,311.43910330387195,relax
23.633,311.47993800817574,relax
23.634,309.4340389551274,relax
23.635,305.5276520472668,relax
23.636,305.06244678662006,relax
23.637,303.67625747532435,relax
23.638,300.07603382257923,relax
23.639,302.069657582452,relax
23.64,304.07589864365946,relax
23.641,301.1538415213815,relax
23.642,301.3239777847549,relax
23.643,300.81040653134505,relax
23.644,306.96343966144485,relax
23.645,305.10811230164614,relax
23.646,310.14580146942336,relax
23.647,308.07648204781736,relax
23.648,311.4747543250468,relax
23.649,310.88756354755134,relax
23.65,309.33020924940524,relax
23.651,307.64681917960826,relax
23.652,307.4899767273835,relax
23.653,303.2747861475232,relax
23.654,300.2053544014975,relax
23.655,306.3008025695296,relax
23.656,302.82187082529504,relax
23.657,298.6095671075935,relax
23.658,304.844178384704,relax
23.659,302.7332486294631,relax
23.66,304.34676061024794,relax
23.661,303.6960587050776,relax
23.662,308.97041828865343,relax
23.663,310.01124773931207,relax
23.664,306.6813541286092,relax
23.665,311.4123497991604,relax
23.666,310.99661735081264,relax
23.667,308.256726107855,relax
23.668,302.7842858647335,relax
23.669,305.42590272854966,relax
23.67,301.1086416485304,relax
23.671,300.5519908319075,relax
23.672,302.74206309927473,relax
23.673,303.81877334893454,relax
23.674,305.31077305761227,relax
23.675,301.5459735025501,relax
