Time,RawValue,FilteredValue,EnvelopeValue,Label
27.223719358444214,262.0,3.0,0.0,contract
27.2282235622406,277.0,-23.0,529.0,contract
27.2282235622406,310.0,-31.0,961.0,contract
27.2327299118042,333.0,-16.0,256.0,contract
27.2327299118042,299.0,2.0,0.0,contract
27.2327299118042,301.0,7.0,0.0,contract
27.23696231842041,413.0,16.0,256.0,contract
27.23696231842041,321.0,33.0,1089.0,contract
27.23696231842041,234.0,24.0,576.0,contract
27.23997926712036,343.0,-3.0,0.0,contract
27.23997926712036,312.0,-7.0,0.0,contract
27.23997926712036,309.0,1.0,0.0,contract
27.24397921562195,254.0,0.0,0.0,contract
27.24397921562195,260.0,-15.0,225.0,contract
27.24940037727356,318.0,-20.0,400.0,contract
27.24940037727356,302.0,-8.0,0.0,contract
27.24940037727356,356.0,9.0,0.0,contract
27.253511905670166,298.0,20.0,400.0,contract
27.253511905670166,281.0,11.0,121.0,contract
27.253511905670166,302.0,-5.0,0.0,contract
27.25653314590454,237.0,-20.0,400.0,contract
27.25653314590454,330.0,-26.0,676.0,contract
27.26158356666565,331.0,-11.0,121.0,contract
27.26176643371582,279.0,4.0,0.0,contract
27.26176643371582,359.0,10.0,0.0,contract
27.265756368637085,331.0,19.0,361.0,contract
27.265756368637085,273.0,19.0,361.0,contract
27.265756368637085,265.0,0.0,0.0,contract
27.26989245414734,269.0,-17.0,289.0,contract
27.26989245414734,294.0,-18.0,324.0,contract
27.26989245414734,311.0,-4.0,0.0,contract
27.27341604232788,378.0,20.0,400.0,contract
27.27341604232788,346.0,45.0,2025.0,contract
27.27701449394226,401.0,59.0,3481.0,contract
27.27701449394226,313.0,54.0,2916.0,contract
27.27701449394226,227.0,20.0,400.0,contract
27.282184600830078,270.0,-28.0,784.0,contract
27.282184600830078,420.0,-34.0,1156.0,contract
27.282184600830078,370.0,3.0,0.0,contract
27.285341024398804,105.0,7.0,0.0,contract
27.285341024398804,298.0,-42.0,1764.0,contract
27.290058135986328,249.0,-64.0,4096.0,contract
27.290058135986328,205.0,-57.0,3249.0,contract
27.290058135986328,312.0,-43.0,1849.0,contract
27.29447078704834,349.0,-8.0,0.0,contract
27.29447078704834,395.0,37.0,1369.0,contract
27.29447078704834,370.0,69.0,4761.0,contract
27.297489166259766,336.0,69.0,4761.0,contract
27.297489166259766,294.0,41.0,1681.0,contract
27.302698135375977,246.0,2.0,0.0,contract
27.302698135375977,248.0,-31.0,961.0,contract
27.302698135375977,264.0,-44.0,1936.0,contract
27.30678939819336,404.0,-22.0,484.0,contract
27.30678939819336,355.0,26.0,676.0,contract
27.30678939819336,318.0,50.0,2500.0,contract
27.31048345565796,286.0,35.0,1225.0,contract
27.31048345565796,243.0,0.0,0.0,contract
27.314605474472046,264.0,-30.0,900.0,contract
27.314605474472046,326.0,-33.0,1089.0,contract
27.314605474472046,377.0,-3.0,0.0,contract
27.318845748901367,428.0,38.0,1444.0,contract
27.318845748901367,389.0,67.0,4489.0,contract
27.323274612426758,222.0,48.0,2304.0,contract
27.323274612426758,223.0,-15.0,225.0,contract
27.323274612426758,252.0,-67.0,4489.0,contract
27.327141761779785,282.0,-71.0,5041.0,contract
27.327141761779785,352.0,-38.0,1444.0,contract
27.327141761779785,343.0,6.0,0.0,contract
27.330151557922363,236.0,24.0,576.0,contract
27.330151557922363,289.0,4.0,0.0,contract
27.330151557922363,304.0,-8.0,0.0,contract
27.334655284881592,284.0,-5.0,0.0,contract
27.334655284881592,345.0,4.0,0.0,contract
27.338809490203857,336.0,20.0,400.0,contract
27.338809490203857,351.0,33.0,1089.0,contract
27.338809490203857,272.0,29.0,841.0,contract
27.34326171875,306.0,8.0,0.0,contract
27.34326171875,316.0,-5.0,0.0,contract
27.34326171875,334.0,-2.0,0.0,contract
27.34735131263733,274.0,1.0,0.0,contract
27.34735131263733,288.0,-6.0,0.0,contract
27.34735131263733,323.0,-11.0,121.0,contract
27.351370811462402,268.0,-8.0,0.0,contract
27.351370811462402,298.0,-9.0,0.0,contract
27.351370811462402,340.0,-3.0,0.0,contract
27.355507135391235,334.0,13.0,169.0,contract
27.355507135391235,341.0,25.0,625.0,contract
27.359656810760498,334.0,28.0,784.0,contract
27.359656810760498,332.0,23.0,529.0,contract
27.359656810760498,278.0,10.0,0.0,contract
27.36377716064453,264.0,-11.0,121.0,contract
27.36377716064453,298.0,-27.0,729.0,contract
27.36377716064453,295.0,-24.0,576.0,contract
